ID,Nombre_Usuario,Plataforma,Seguidores,Siguiendo,Publicaciones,Me_Gusta_Promedio,Comentarios_Promedio,Es_Influencer,Fecha_Registro
1,ana_gomez23,Instagram,1200,850,345,250,45,False,2021-03-15
2,carlos_87,Twitter,4500,1200,1200,780,120,True,2020-07-22
3,laura_s,TikTok,98000,200,560,12000,1500,True,2022-01-10
4,juan_p,Facebook,300,500,45,50,5,False,2019-11-05
5,sofia_r,TikTok,15000,400,230,3000,400,True,2021-09-12
6,pablo_d,Instagram,5000,600,120,800,90,True,2020-05-18
7,maria_l,TikTok,500000,100,1500,50000,8000,True,2022-03-01
8,luis_t,Twitter,12000,3000,2000,1500,300,True,2021-02-14
9,carmen_v,Instagram,800,700,90,120,20,False,2020-08-30
10,jorge_c,TikTok,25000,500,400,5000,600,True,2021-12-25
11,patricia_s,Facebook,150,300,30,20,3,False,2018-04-20
12,andres_m,Instagram,3000,900,200,500,60,True,2020-10-11
13,isabel_r,TikTok,100000,150,800,20000,2500,True,2022-05-07
14,miguel_c,Twitter,8000,2500,1500,1000,200,True,2021-06-19
15,adriana_h,Instagram,2000,400,150,300,40,False,2020-09-03
16,raul_n,TikTok,75000,300,600,10000,1200,True,2022-02-22
17,silvia_m,Facebook,400,600,60,70,10,False,2019-07-14
18,fernando_c,Instagram,10000,800,300,1500,200,True,2021-04-05
19,natalia_o,TikTok,300000,50,2000,70000,10000,True,2022-06-30
20,oscar_g,Twitter,5000,2000,1000,600,100,True,2021-08-15
21,veronica_p,Instagram,2500,500,180,400,50,False,2020-12-01
22,roberto_v,TikTok,50000,250,450,8000,900,True,2022-04-18
23,beatriz_c,Facebook,200,400,40,30,4,False,2018-09-09
24,daniel_m,Instagram,7000,700,250,1000,120,True,2021-01-25
25,lucia_r,TikTok,200000,100,1200,40000,5000,True,2022-07-12
26,jose_l,Twitter,3000,1500,800,400,80,False,2020-11-20
27,marina_d,Instagram,4000,600,200,600,70,True,2021-05-30
28,sergio_b,TikTok,90000,200,700,15000,1800,True,2022-08-05
29,clara_n,Facebook,100,200,20,10,2,False,2017-12-12
30,alberto_s,Instagram,15000,900,400,2000,250,True,2021-10-10
31,elena_c,TikTok,60000,300,500,10000,1200,True,2022-09-01
32,ruben_o,Twitter,7000,1800,1200,900,150,True,2021-03-22
33,ines_v,Instagram,3500,550,220,700,80,False,2020-06-15
34,francisco_r,TikTok,400000,80,1800,60000,9000,True,2022-10-10
35,olga_m,Facebook,250,350,35,40,6,False,2019-02-28
36,antonio_j,Instagram,8000,750,280,1200,140,True,2021-07-07
37,carolina_r,TikTok,150000,120,1000,30000,4000,True,2022-11-11
38,joaquin_n,Twitter,4000,2000,900,500,90,False,2020-04-04
39,alicia_m,Instagram,500,450,100,150,25,False,2019-09-09
40,victor_d,TikTok,80000,180,600,12000,1500,True,2022-12-12
41,nuria_g,Facebook,300,500,50,60,8,False,2018-08-08
42,angel_m,Instagram,12000,850,350,1800,200,True,2021-08-08
43,marta_s,TikTok,250000,90,1500,50000,7000,True,2023-01-01
44,hector_m,Twitter,6000,2200,1100,700,120,True,2021-09-09
45,sara_p,Instagram,2000,400,160,300,35,False,2020-10-10
46,pedro_r,TikTok,70000,220,550,9000,1100,True,2023-02-02
47,cristina_n,Facebook,150,250,25,20,3,False,2017-11-11
48,manuel_m,Instagram,9000,800,320,1400,160,True,2021-10-10
49,lorena_s,TikTok,180000,130,900,25000,3000,True,2023-03-03
50,javier_o,Twitter,5000,1900,1000,600,100,True,2021-11-11
51,ana_s,Instagram,3000,500,210,500,60,False,2020-12-12
52,diegom,TikTok,50000,240,480,8000,900,True,2023-04-04
53,maria_j,Facebook,200,300,30,25,4,False,2018-10-10
54,rafael_o,Instagram,10000,700,270,1100,130,True,2021-12-12
55,isabel_v,TikTok,300000,70,1700,60000,8000,True,2023-05-05
56,francisco_n,Twitter,8000,2100,1300,800,140,True,2022-01-01
57,olga_j,Instagram,4000,600,230,700,80,False,2020-11-11
58,antonio_r,TikTok,90000,200,650,14000,1700,True,2023-06-06
59,carolina_n,Facebook,100,150,15,10,2,False,2017-09-09
60,joaquin_m,Instagram,15000,900,380,1900,220,True,2022-02-02
61,alicia_d,TikTok,200000,110,1100,35000,4500,True,2023-07-07
62,victor_m,Twitter,4000,1800,950,550,90,False,2021-03-03
63,nuria_r,Instagram,2500,450,190,400,50,False,2020-04-04
64,angel_p,TikTok,60000,260,520,10000,1200,True,2023-08-08
65,marta_m,Facebook,300,400,40,35,5,False,2018-05-05
66,hector_r,Instagram,7000,650,260,1000,120,True,2022-03-03
67,sara_n,TikTok,150000,140,950,28000,3500,True,2023-09-09
68,pedro_m,Twitter,5000,2000,1050,650,110,True,2021-04-04
69,cristina_r,Instagram,2000,400,170,350,40,False,2020-05-05
70,manuel_s,TikTok,80000,190,620,13000,1600,True,2023-10-10
71,lorena_m,Facebook,150,200,20,15,3,False,2017-08-08
72,javier_r,Instagram,12000,800,330,1600,180,True,2022-04-04
73,ana_m,TikTok,250000,100,1400,45000,6000,True,2023-11-11
74,diego_r,Twitter,6000,2200,1150,750,130,True,2021-05-05
75,maria_r,Instagram,3000,500,220,550,65,False,2020-06-06
76,rafael_m,TikTok,70000,230,580,11000,1400,True,2023-12-12
77,isabel_m,Facebook,200,350,35,30,4,False,2018-07-07
78,francisco_s,Instagram,9000,750,290,1300,150,True,2022-05-05
79,olga_r,TikTok,180000,160,1000,32000,4000,True,2024-01-01
80,antonio_m,Twitter,7000,2300,1250,850,150,True,2021-06-06
81,carolina_s,Instagram,4000,600,240,750,85,False,2020-07-07
82,joaquin_r,TikTok,90000,210,670,14000,1700,True,2024-02-02
83,alicia_r,Facebook,100,180,18,12,2,False,2017-10-10
84,victor_s,Instagram,15000,850,360,1800,200,True,2022-06-06
85,nuria_m,TikTok,200000,120,1150,38000,4800,True,2024-03-03
86,angel_r,Twitter,5000,1900,1100,700,120,True,2021-07-07
87,marta_r,Instagram,2500,450,200,450,55,False,2020-08-08
88,hector_s,TikTok,60000,270,540,12000,1500,True,2024-04-04
89,sara_r,Facebook,300,400,45,40,6,False,2018-06-06
90,pedro_s,Instagram,7000,700,280,1200,140,True,2022-07-07
91,cristina_s,TikTok,150000,150,980,29000,3600,True,2024-05-05
92,manuel_r,Twitter,8000,2400,1350,900,160,True,2021-08-08
93,lorena_r,Instagram,2000,400,180,400,45,False,2020-09-09
94,javier_s,TikTok,80000,200,640,13000,1600,True,2024-06-06
95,ana_r,Facebook,150,250,25,20,3,False,2017-12-12
96,diego_s,Instagram,12000,800,340,1700,190,True,2022-08-08
97,maria_s,TikTok,250000,110,1450,47000,6200,True,2024-07-07
98,rafael_s,Twitter,6000,2300,1200,800,140,True,2021-09-09
99,isabel_s,Instagram,3000,500,230,600,70,False,2020-10-10
100,francisco_m,TikTok,70000,240,590,11000,1400,True,2024-08-08